"id","pointString","name","irrigationArea","winterArea","summerArea","annualArea","source","type","winterDemand","summerDemand","autumnDemand","springDemand","annualDemand","annualVolume","program","benefitedFamilies","agriculturalZone","lastEditedDate","lastEditedUser","alias","returnRate","subcatchmentMELCAid"
1,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-09,0,"alias",0,1
2,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-09,0,"alias",0,2
3,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-09,0,"alias",0,3
4,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-10,0,"alias",0,4
5,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-10,0,"alias",0,5
6,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-10,0,"alias",0,6
7,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-11,0,"alias",0,7
8,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-11,0,"alias",0,8
9,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-11,0,"alias",0,9
10,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-12,0,"alias",0,10
11,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-12,0,"alias",0,11
12,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-12,0,"alias",0,12
13,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-13,0,"alias",0,13
14,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-13,0,"alias",0,14
15,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-13,0,"alias",0,15
16,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-14,0,"alias",0,16
17,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-14,0,"alias",0,17
18,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-14,0,"alias",0,18
19,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-15,0,"alias",0,19
20,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-15,0,"alias",0,20
21,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-15,0,"alias",0,21
22,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-16,0,"alias",0,22
23,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-16,0,"alias",0,23
24,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-16,0,"alias",0,24
25,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-17,0,"alias",0,25
26,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-17,0,"alias",0,26
27,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-17,0,"alias",0,27
28,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-18,0,"alias",0,28
29,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-18,0,"alias",0,29
30,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-18,0,"alias",0,30
31,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-19,0,"alias",0,31
32,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-19,0,"alias",0,32
33,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-19,0,"alias",0,33
34,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-20,0,"alias",0,34
35,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-20,0,"alias",0,35
36,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-20,0,"alias",0,36
37,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-21,0,"alias",0,37
38,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-21,0,"alias",0,38
39,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-21,0,"alias",0,39
40,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-22,0,"alias",0,40
41,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-22,0,"alias",0,41
42,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-22,0,"alias",0,42
43,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-23,0,"alias",0,43
44,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-23,0,"alias",0,44
45,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-23,0,"alias",0,45
46,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-24,0,"alias",0,46
47,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-24,0,"alias",0,47
48,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-24,0,"alias",0,48
49,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-25,0,"alias",0,49
50,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-25,0,"alias",0,50
51,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-25,0,"alias",0,51
52,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-26,0,"alias",0,52
53,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-26,0,"alias",0,53
54,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-26,0,"alias",0,54
55,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-27,0,"alias",0,55
56,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-27,0,"alias",0,56
57,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-27,0,"alias",0,57
58,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-28,0,"alias",0,58
59,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-28,0,"alias",0,59
60,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-28,0,"alias",0,60
61,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-29,0,"alias",0,61
62,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-29,0,"alias",0,62
63,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-29,0,"alias",0,63
64,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-30,0,"alias",0,64
65,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-30,0,"alias",0,65
66,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-30,0,"alias",0,66
67,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-31,0,"alias",0,67
68,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-31,0,"alias",0,68
69,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-10-31,0,"alias",0,69
70,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-11-01,0,"alias",0,70
71,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-11-01,0,"alias",0,71
72,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-11-01,0,"alias",0,72
73,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-11-02,0,"alias",0,73
74,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-11-02,0,"alias",0,74
75,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-11-02,0,"alias",0,75
76,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2022-11-03,0,"alias",0,76
